unique_registros_ID,genus,species,subspecies,if_hybrid,sex,locality_code,lat_dec,lon_dec,revised_accuracy,elev_min_etiq,elev_max_etiq,elev_unidad,day,month,year,Date_if_string,colector,coleccion,image_link
4182,Heliconius,telesiphe,telesiphe,,macho,Huancabamba PER PA,-10.38333333,-75.55,,6000,6000,ft,,2,1905,,"Boettger, E.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4183,Heliconius,telesiphe,telesiphe,,macho,no data,,,999,,,m,,,,,Degand,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4184,Heliconius,telesiphe,telesiphe,,macho,Chachapoyas PER AM,-6.233333333,-77.88333333,2,,,m,,,1889,,"Mathan, M. de",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4185,Heliconius,telesiphe,telesiphe,,hembra,Chinchipe Rio PER CA,-5.516666667,-78.55,,6000,6000,ft,,,1912,,"Pratt, A. & E.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4186,Heliconius,telesiphe,telesiphe,,hembra,Tabaconas Rio PER CA,-5.316666667,-79.28333333,,6000,6000,m,,,1912,,"Pratt, A. & E.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4187,Heliconius,telesiphe,telesiphe,,hembra,Chachapoyas PER AM,-6.233333333,-77.88333333,2,,,m,,,1889,,"Mathan, M. de",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4188,Heliconius,telesiphe,telesiphe,,macho,Ucayali Rio PER,-8.894691667,-74.41334722,500,,,m,,,1893,,Stuart,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4189,Heliconius,telesiphe,telesiphe,,macho,Huambo PER AM,-6.566666667,-77.38333333,,,,m,,,1889,4th trimestre,"Mathan, M. de",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4190,Heliconius,telesiphe,telesiphe,,macho,Pozuzo  PER PA,-10.11666667,-75.53333333,2,,,m,,,,,"Hoffmanns, W.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4191,Heliconius,telesiphe,telesiphe,,macho,Cushi PER PA,-9.966666667,-75.7,2,1900,1900,m,,,,,"Hoffmanns, W.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4192,Heliconius,telesiphe,telesiphe,,macho,Huagaruncho nr. Cerro de Pasco PER,-10.499805,-75.652458,39.19,,,m,,,1986,,"Tucker, J.W.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4193,Heliconius,telesiphe,telesiphe,,macho,Chanchamayo PER JU,-11.06666667,-75.31666667,2,,,m,,,1901,08-Jun,Hoffman,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4194,Heliconius,telesiphe,telesiphe,,macho,Perene Rio PER JU,-11.15,-74.3,,,,m,,3,1900,,Simons,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4195,Heliconius,telesiphe,telesiphe,,macho,Toro Rio upper PER JU,-11.05,-75.31666667,,3000,3000,m,,,1901,09-Aug,Simons,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4196,Heliconius,telesiphe,telesiphe,,macho,La Merced  PER JU,-11.05,-75.31666667,2,2500,2500,ft,,,1903,7&8,Watkins & Tomlinson,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4197,Heliconius,telesiphe,telesiphe,,macho,San Ramon PER JU,-11.13333333,-75.35,2,3000,3000,ft,,8,1903,,Watkins & Tomlinson,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4198,Heliconius,telesiphe,telesiphe,,macho,Oroya PER PU,-13.88333333,-69.63333333,2,3000,3000,ft,,9,1901,,"Ockenden, C.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4199,Heliconius,telesiphe,telesiphe,,macho,La Oroya - Agualani PER PU,-13.99816667,-69.66921944,15,,,m,,10,1904,,"Ockenden, C.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4200,Heliconius,telesiphe,telesiphe,,macho,Limbani PER PU,-14.15,-69.7,,,,m,,3,1904,,"Ockenden, C.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4201,Heliconius,telesiphe,telesiphe,,macho,Oroya Inambari PER PU,-13.88333333,-69.63333333,,1000,1000,m,,7,1900,,Simons,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4202,Heliconius,telesiphe,telesiphe,,macho,Marcapata PER CU,-13.43333333,-70.91666667,2,4500,4500,ft,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4203,Heliconius,telesiphe,telesiphe,,macho,no data,,,999,6000,6000,ft,,6,1901,,"Ockenden, C.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4204,Heliconius,telesiphe,telesiphe,,macho,Chanchamayo PER JU,-11.06666667,-75.31666667,2,,,m,,,1901,08-Jan,"Hoffmanns, W.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4205,Heliconius,telesiphe,telesiphe,,macho,Cosnipata Valley PER CU,-13.06666667,-71.2,,,,m,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4206,Heliconius,telesiphe,telesiphe,,macho,El Porvenir PER PA,-10.73333333,-75.18333333,2,900,900,m,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4207,Heliconius,telesiphe,telesiphe,,macho,Manchara PER CA,-5.333333333,-79.23333333,2,7000,7000,ft,,9,1912,,"Pratt, A. & E.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4208,Heliconius,telesiphe,telesiphe,,macho,Ukcuyaca PER,,,,4800,4800,ft,,,1920,"11,12",Watkins,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4209,Heliconius,telesiphe,telesiphe,,?,Quiton PER PU,-14,-69.71666667,2,7000,7000,ft,,5,1904,,"Ockenden, C.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4210,Heliconius,telesiphe,cretacea,,macho,Tambillo PER CA,-6.166666667,-78.73333333,2,,,m,,,,,Const. Jelski,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20cretaceus%20big.jpg
4211,Heliconius,telesiphe,cretacea,,macho,Tambillo PER CA,-6.166666667,-78.73333333,2,,,m,19,9,,,Stolzmann,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20cretaceus%20big.jpg
4212,Heliconius,telesiphe,cretacea,,macho,Tambillo PER CA,-6.166666667,-78.73333333,2,,,m,,,,,Const. Jelski,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20cretaceus%20big.jpg
4213,Heliconius,telesiphe,cretacea,,macho,Tambillo PER CA,-6.166666667,-78.73333333,2,,,m,17,3,1878,,Stolzmann,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20cretaceus%20big.jpg
4214,Heliconius,telesiphe,cretacea,,macho,Tambillo PER CA,-6.166666667,-78.73333333,2,,,m,,,,,Const. Jelski,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20cretaceus%20big.jpg
4215,Heliconius,telesiphe,cretacea,,macho,Amazonas PROVINCE PER,-5.135822222,-78.20561389,250,,,m,,,1889,,"Mathan, M. de",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20cretaceus%20big.jpg
4216,Heliconius,telesiphe,cretacea,,macho,Peru  COUNTRY,-10.81888611,-75.32446944,999,,,m,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20cretaceus%20big.jpg
4217,Heliconius,telesiphe,telesiphe,,macho,Apolobamba BOL LP,-14.71666667,-68.41666667,2,,,m,,,,,Pearce,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
